enroll_id,course_id,username,engagement
772,course-v1:TsinghuaX+70800232X+2015_T2,5981,0
773,course-v1:TsinghuaX+70800232X+2015_T2,1544995,0
774,course-v1:TsinghuaX+70800232X+2015_T2,1072798,0
775,course-v1:TsinghuaX+70800232X+2015_T2,1520977,0
776,course-v1:TsinghuaX+70800232X+2015_T2,561867,0
777,course-v1:TsinghuaX+70800232X+2015_T2,1368125,0
778,course-v1:TsinghuaX+70800232X+2015_T2,671700,0
779,course-v1:TsinghuaX+70800232X+2015_T2,708122,0
780,course-v1:TsinghuaX+70800232X+2015_T2,574030,0
781,course-v1:TsinghuaX+70800232X+2015_T2,818157,0
782,course-v1:TsinghuaX+70800232X+2015_T2,97,0
784,course-v1:TsinghuaX+70800232X+2015_T2,1488662,0
785,course-v1:TsinghuaX+70800232X+2015_T2,1481585,0
786,course-v1:TsinghuaX+70800232X+2015_T2,739031,0
788,course-v1:TsinghuaX+70800232X+2015_T2,1068063,0
790,course-v1:TsinghuaX+70800232X+2015_T2,175887,0
792,course-v1:TsinghuaX+70800232X+2015_T2,495830,0
793,course-v1:TsinghuaX+70800232X+2015_T2,442687,0
797,course-v1:TsinghuaX+70800232X+2015_T2,1112353,0
799,course-v1:TsinghuaX+70800232X+2015_T2,1509938,0
800,course-v1:TsinghuaX+70800232X+2015_T2,358754,0
802,course-v1:TsinghuaX+70800232X+2015_T2,92886,0
803,course-v1:TsinghuaX+70800232X+2015_T2,383761,0
804,course-v1:TsinghuaX+70800232X+2015_T2,1572453,0
806,course-v1:TsinghuaX+70800232X+2015_T2,1077171,0
807,course-v1:TsinghuaX+70800232X+2015_T2,105633,0
808,course-v1:TsinghuaX+70800232X+2015_T2,17656,0
812,course-v1:TsinghuaX+70800232X+2015_T2,210321,0
813,course-v1:TsinghuaX+70800232X+2015_T2,1520708,0
814,course-v1:TsinghuaX+70800232X+2015_T2,180034,0
815,course-v1:TsinghuaX+70800232X+2015_T2,1071681,0
816,course-v1:TsinghuaX+70800232X+2015_T2,596921,0
818,course-v1:TsinghuaX+70800232X+2015_T2,168694,0
819,course-v1:TsinghuaX+70800232X+2015_T2,1516361,0
820,course-v1:TsinghuaX+70800232X+2015_T2,160068,0
821,course-v1:TsinghuaX+70800232X+2015_T2,1537312,0
822,course-v1:TsinghuaX+70800232X+2015_T2,566972,0
824,course-v1:TsinghuaX+70800232X+2015_T2,1369254,0
825,course-v1:TsinghuaX+70800232X+2015_T2,1011621,0
826,course-v1:TsinghuaX+70800232X+2015_T2,1133804,0
829,course-v1:TsinghuaX+70800232X+2015_T2,1533114,0
830,course-v1:TsinghuaX+70800232X+2015_T2,197890,0
831,course-v1:TsinghuaX+70800232X+2015_T2,1015057,0
832,course-v1:TsinghuaX+70800232X+2015_T2,721530,0
833,course-v1:TsinghuaX+70800232X+2015_T2,1366592,0
835,course-v1:TsinghuaX+70800232X+2015_T2,1473308,0
837,course-v1:TsinghuaX+70800232X+2015_T2,1086532,0
838,course-v1:TsinghuaX+70800232X+2015_T2,1433008,0
839,course-v1:TsinghuaX+70800232X+2015_T2,1433009,0
840,course-v1:TsinghuaX+70800232X+2015_T2,558112,0
843,course-v1:TsinghuaX+70800232X+2015_T2,465977,0
844,course-v1:TsinghuaX+70800232X+2015_T2,457462,0
845,course-v1:TsinghuaX+70800232X+2015_T2,481143,0
846,course-v1:TsinghuaX+70800232X+2015_T2,94171,0
847,course-v1:TsinghuaX+70800232X+2015_T2,1164703,0
848,course-v1:TsinghuaX+70800232X+2015_T2,253765,0
